model,score,value
dt_4,accuracy,0.7917517721975249
mlp_base,accuracy,0.8075814009371621
dt_40,accuracy,0.8125375465577316
mlp_best,accuracy,0.8192058152108614
dt_4,f1,0.8144321618800353
mlp_base,f1,0.8232242397483304
dt_40,f1,0.8277251773539073
mlp_best,f1,0.8341644854663177
